# F(Thz)          sk_xx       sk_yy         sk_zz
8.63679879e+00 4.50012240e+00 4.50012241e+00 4.50012241e+00
8.70125251e+00 4.54655792e+00 4.54655792e+00 4.54655792e+00
8.76570624e+00 4.60153030e+00 4.60153030e+00 4.60153030e+00
8.83015996e+00 4.67439568e+00 4.67439568e+00 4.67439568e+00
8.89461368e+00 4.76694196e+00 4.76694196e+00 4.76694196e+00
8.95906740e+00 4.87209287e+00 4.87209287e+00 4.87209287e+00
9.02352112e+00 4.97677477e+00 4.97677477e+00 4.97677477e+00
9.08797485e+00 5.06704483e+00 5.06704483e+00 5.06704483e+00
9.15242857e+00 5.13312314e+00 5.13312314e+00 5.13312314e+00
9.21688229e+00 5.17244443e+00 5.17244443e+00 5.17244443e+00
9.28133601e+00 5.18983803e+00 5.18983803e+00 5.18983803e+00
9.34578974e+00 5.19497590e+00 5.19497590e+00 5.19497590e+00
9.41024346e+00 5.19804540e+00 5.19804540e+00 5.19804540e+00
9.47469718e+00 5.20516948e+00 5.20516948e+00 5.20516948e+00
9.53915090e+00 5.21529077e+00 5.21529077e+00 5.21529077e+00
9.60360463e+00 5.21993464e+00 5.21993464e+00 5.21993464e+00
9.66805835e+00 5.20636819e+00 5.20636819e+00 5.20636819e+00
9.73251207e+00 5.16327506e+00 5.16327506e+00 5.16327506e+00
9.79696579e+00 5.08666583e+00 5.08666583e+00 5.08666584e+00
9.86141952e+00 4.98312946e+00 4.98312946e+00 4.98312946e+00
9.92587324e+00 4.86840095e+00 4.86840095e+00 4.86840095e+00
9.99032696e+00 4.76148212e+00 4.76148212e+00 4.76148212e+00
1.00547807e+01 4.67702627e+00 4.67702627e+00 4.67702627e+00
1.01192344e+01 4.61980173e+00 4.61980173e+00 4.61980173e+00
1.01836881e+01 4.58391786e+00 4.58391786e+00 4.58391786e+00
1.02481418e+01 4.55670295e+00 4.55670295e+00 4.55670295e+00
1.03125956e+01 4.52455295e+00 4.52455295e+00 4.52455295e+00
1.03770493e+01 4.47753322e+00 4.47753322e+00 4.47753322e+00
1.04415030e+01 4.41118111e+00 4.41118111e+00 4.41118111e+00
1.05059567e+01 4.32621556e+00 4.32621556e+00 4.32621556e+00
1.05704105e+01 4.22783066e+00 4.22783067e+00 4.22783067e+00
1.06348642e+01 4.12543160e+00 4.12543160e+00 4.12543160e+00
1.06993179e+01 4.03212677e+00 4.03212678e+00 4.03212678e+00
1.07637716e+01 3.96261326e+00 3.96261327e+00 3.96261327e+00
1.08282253e+01 3.92924001e+00 3.92924003e+00 3.92924003e+00
1.08926791e+01 3.93730209e+00 3.93730211e+00 3.93730212e+00
1.09571328e+01 3.98289417e+00 3.98289419e+00 3.98289420e+00
1.10215865e+01 4.05522719e+00 4.05522722e+00 4.05522722e+00
1.10860402e+01 4.14103324e+00 4.14103328e+00 4.14103328e+00
1.11504940e+01 4.22946949e+00 4.22946952e+00 4.22946953e+00
1.12149477e+01 4.31450556e+00 4.31450559e+00 4.31450559e+00
1.12794014e+01 4.39418087e+00 4.39418090e+00 4.39418090e+00
1.13438551e+01 4.46830330e+00 4.46830333e+00 4.46830333e+00
1.14083089e+01 4.53669806e+00 4.53669808e+00 4.53669809e+00
1.14727626e+01 4.59879203e+00 4.59879205e+00 4.59879205e+00
1.15372163e+01 4.65371811e+00 4.65371812e+00 4.65371812e+00
1.16016700e+01 4.69983691e+00 4.69983692e+00 4.69983692e+00
1.16661237e+01 4.73370011e+00 4.73370012e+00 4.73370012e+00
1.17305775e+01 4.74969178e+00 4.74969178e+00 4.74969178e+00
1.17950312e+01 4.74142883e+00 4.74142883e+00 4.74142884e+00
1.18594849e+01 4.70445637e+00 4.70445637e+00 4.70445637e+00
1.19239386e+01 4.63839917e+00 4.63839917e+00 4.63839917e+00
1.19883924e+01 4.54694224e+00 4.54694224e+00 4.54694225e+00
1.20528461e+01 4.43570716e+00 4.43570715e+00 4.43570716e+00
1.21172998e+01 4.30981015e+00 4.30981015e+00 4.30981015e+00
1.21817535e+01 4.17316729e+00 4.17316729e+00 4.17316729e+00
1.22462072e+01 4.02931295e+00 4.02931295e+00 4.02931295e+00
1.23106610e+01 3.88318257e+00 3.88318256e+00 3.88318257e+00
1.23751147e+01 3.74176089e+00 3.74176089e+00 3.74176089e+00
1.24395684e+01 3.61185146e+00 3.61185146e+00 3.61185146e+00
1.25040221e+01 3.49704468e+00 3.49704468e+00 3.49704468e+00
1.25684759e+01 3.39567760e+00 3.39567760e+00 3.39567760e+00
1.26329296e+01 3.30126306e+00 3.30126306e+00 3.30126306e+00
1.26973833e+01 3.20520245e+00 3.20520245e+00 3.20520245e+00
1.27618370e+01 3.10022586e+00 3.10022586e+00 3.10022586e+00
1.28262907e+01 2.98282633e+00 2.98282633e+00 2.98282633e+00
1.28907445e+01 2.85385804e+00 2.85385804e+00 2.85385804e+00
1.29551982e+01 2.71758298e+00 2.71758298e+00 2.71758298e+00
1.30196519e+01 2.58002965e+00 2.58002965e+00 2.58002965e+00
1.30841056e+01 2.44742276e+00 2.44742276e+00 2.44742276e+00
1.31485594e+01 2.32504132e+00 2.32504132e+00 2.32504132e+00
1.32130131e+01 2.21656481e+00 2.21656481e+00 2.21656481e+00
1.32774668e+01 2.12383114e+00 2.12383114e+00 2.12383114e+00
1.33419205e+01 2.04690338e+00 2.04690338e+00 2.04690338e+00
1.34063742e+01 1.98439878e+00 1.98439878e+00 1.98439878e+00
1.34708280e+01 1.93385284e+00 1.93385284e+00 1.93385284e+00
1.35352817e+01 1.89221570e+00 1.89221570e+00 1.89221570e+00
1.35997354e+01 1.85598976e+00 1.85598976e+00 1.85598976e+00
1.36641891e+01 1.82120899e+00 1.82120899e+00 1.82120899e+00
1.37286429e+01 1.78347678e+00 1.78347678e+00 1.78347678e+00
1.37930966e+01 1.73831498e+00 1.73831498e+00 1.73831498e+00
1.38575503e+01 1.68191280e+00 1.68191280e+00 1.68191280e+00
1.39220040e+01 1.61205300e+00 1.61205300e+00 1.61205300e+00
1.39864577e+01 1.52877185e+00 1.52877185e+00 1.52877185e+00
